(Cdad. Mtar.),(CAD. MTAR.)
zangoteo,Zangotote
zanguanga,Zangananga.
zanguango,Zanganango.
zanguayo,Zanguayo.
zanguito,Zanguito.
zangón,Zangon
zanja,канава
zanjar,Занджар.
zanjas,Занджас.
zanjear,повернись
zanjero,Zanjero.
zanjón,Zanjon.
zanquear,Zanqer.
zanquetear,Занкете
zanquilargo,легкость
zanquilla,Zanquilla.
zanquita,Zanquita.
zanquitorcido,Zanquipiento.
zanquituerto,Zanquiterto.
zanquivano,веретено
zapa,Zapa.
zapaburu,Запабуру.
zapador,сапер
zapadora,Западора
zapallada,Zapallada.
zapallero,Zapallero.
zapallo,Zapallo.
zapallón,Zapallón.
zapalota,Запалота.
zapance,Запанс.
zapapico,кирка
zapar,сок
zaparrada,СЧАСТЛИВЫЙ.
zaparrastrar,Zaparrastrar.
zaparrastroso,Zeparrastroso.
zaparrazo,Zaparrazo.
zapata,Запата.
zapatada,Завезена
zapatazo,Запатазо.
zapateado,чечетка
zapateador,Zapateador.
zapatear,Запато.
zapatearse,Zapate
zapateo,Запатео.
zapatera,Zapatera
zapateria,магазин обуви
zapateril,Запатерил.
zapatero,Shoemaker.
zapatería,магазин обуви
zapatería de viejo,Старый сапожник.
zapateta,Запатета
zapatilla,обувь
zapatillas,туфли
zapatillero,Zapaster
zapato,обувь
zapatos,туфли
zapatudo,Запатудо.
zapatón,Zapatón.
zape,Запепе.
zapear,Zapear.
zapeo,Zapeus.
zapera,Zapa.
zaperoco,zaperoco.
zapita,Запита.
zapito,Запито.
zapo,Zapo.
zaporro,Запорна.
zapotazo,Запотазо.
zapote,саподилла
zapotear,Zapotooth
zapoteca,Запотека.
zapotecos,Запотекос
zapotero,Запотеро.
zapotillo,Запотильо.
zapoyolito,Zapoyolito
zapupe,Zapupe.
zapuzar,Запонзар.
zaque,Zake.
zaquear,куча.
zaquizamí,Zaquizamí.
zar,цар
zara,Zara.
zarabanda,сарабанд
zarabandista,Зарабандиста
zarabato,Zarabato.
zarabeto,Zarabeto.
zarabitoso,Zapitoso
zarabutear,Делиться
zarabutero,Зарабутер
zaracear,Zaracear.
zaragalla,Zaragalla.
zaragata,Zaragata
zaragate,Zaragate
zaragatear,Зарагато
zaragatero,Зарагатеро
zaragatona,Зарагатона
zaragocesa,Zaragocesa
zaragocés,ZARAGOCÉS.
zaragoza,Сарагоса
zaragozana,Зарагоса
zaragozano,Зарагозано
zaragutear,Zaragute
zaragutero,Зарутеро
zaragüelle,Зарагуэль
zaragüelles,ZARAGÜELLES.
zaramada,Зарамада
zaramagullón,Zaramagullón
zarambeque,Зарамбек
zarambote,Zarampote.
zarambutear,Zarambutery
zaramullada,osaramullada.
zaramullo,Zaramullo.
zaranda,Заранда.
zarandaja,Зарандаджа.
zarandajo,ZARANDAJO.
zarandar,Zarandar.
zarandarse,Zaing
zarandeada,встряхнутый
zarandear,встряхнуть
zarandearse,Zarande
zarandilla,Зарандилла
zarandillo,Зарандилло
zarando,Зарандо.
zarandunga,Зарандунга
zarandón,Zarandon
zarantán,Zarnartan.
zarape,Зарапе.
zarapico,Zarapico.
zarapita,Зарапита.
zarapito,скручиваться
zarapullo,Zarapullo.
zaratan,Заратан
zarataniento,Zaramatiento.
zarate,Zarate
zaratearse,плыть
zaratán,Заратан
zarazas,Заразас
zarazo,Zarazo.
zarazón,Зариз.
zarbo,Зарбо.
zarcear,Zarcear.
zarceo,Заркоо.
zarcera,Zarcera
zarcero,Зарцеро
zarceta,Zarceta
zarceño,Зарконьо.
zarcillo,уклон
zarco,Zarco.
zargatona,Заргатона.
zariano,Царио.
zarigüeya,опосум
zarina,Царина
zarismo,Царенсо.
zarista,Зариста.
zarja,Заря.
zarpa,лапа
zarpada,SailPada.
zarpado,плыть
zarpar,настроить парус
zarpazo,Зарпазо.
zarpe,Zarpe.
zarpear,Зарка.
zarposo,Скарпо.
zarra,Zarra.
zarracatería,Zarracathería
zarracatralla,Zarracatralla.
zarracatín,Зарракатин
zarramagalo,Zarramagalo.
zarramplinada,Zarramplinada
zarramplín,Zarramplín
zarrampín,Zarrampín.
zarranja,Zarrranja.
zarranjar,Zarranjar.
zarrapastra,Zarrapastra
zarrapastrear,ZarrapaStrear
zarrapastro,Zarrastro.
zarrapastroso,Zarrastroso.
zarrapo,Zarrapo.
zarria,Zarraia.
zarriento,Zarntyo.
zarrio,Zarrio
zarrioso,Zarrioso.
zarrón,Zarrón.
zarza,преступность
zarzaganillo,Зарзаганильо.
zarzagán,Zarzagán.
zarzahán,Zarzahán.
zarzaidea,Zarzaidea.
zarzal,Зарзал
zarzamora,ежевика
zarzamoral,Зарзаморал
zarzaparrilla,Sassaparilla
zarzaperruna,Zarzaperruna.
zarzarrosa,Зарзарроса
zarzo,ума
zarzoso,потрясающе
zarzuela,Оперетта
zarzuelero,Зарзуэлеро
zarzuelista,Zarzuelista.
zas,зас.
zascandil,оживленная
zascandilear,вмешиваться
zata,Zata.
zatara,Затара.
zatico,Затика.
zatillo,Затильо.
zato,Zato.
zazo,Zazo.
zazoso,Зазо.
zea,ZEA.
zebra,Зебра.
zebú,Зебу.
zeda,ZEDA.
zedilla,Zedilla.
zeina,Zeina.
zejel,Zehel.
zelote,Zelote.
zen,Дзен
zeneca,Zeneca.
zenit,Zenit.
zepelin,дирижабль
zeptosegundo,Zeptosegundo.
zeta,Zeta
zetesis,Zetise.
zetética,Zettag
zeugma,Zeugma.
zeuma,ZEMA.
zigano,Зигано.
zigoptero,Zigoptero.
zigoteno,Зиготено.
zigzag,Zig Zag
zigzaguear,зигзаг
zika,Zika.
zima,Zima
zimina,zimina.
zimo,Zimo.
zimosis,зимоз
zinc,цинка
zincograbado,Zincrabado.
zincografía,цинкиграфический
zincífero,цинконент
zingiberáceas,Zingiberáceas.
zinguizarra,Zingizarara.
ziper,Мол
zipizape,zipizape.
zirigaña,Zirigaña.
zis,зис
zitogala,Зитогала
zobordar,Zobre.
zoca,Zoca
zocabón,Zocabón.
zocalo,плинтус
zocatearse,Отказываться
zocato,Zocato.
zocavón,Zoquavón.
zocaño,Zocaño.
zoclo,Борден
zoco,Souco.
zocolar,Zocolar.
zocollar,Zocollar.
zocotroco,Zocotroco.
zocotrollo,Софтролл
zocucho,Zochucho.
zodiacal,зодиакал
zodiaco,зодиак
zodíaco,зодиак
zoiatría,Зона
zoilo,Зивет.
zollipar,Zollipar.
zollipo,ZOLLIPO.
zolocho,Zolocho.
zoma,ZOMA.
zombi,зомби
zompo,zompo.
zompopo,Zompopo.
zona,зона
zonado,Зонадо.
zonaje,Zonage.
zonal,зонал
zoncear,Zoncear.
zoncera,Zoncera.
zoncería,Zoncía.
zoncha,Зуча.
zonchiche,Zonchiche.
zoncho,Zoncho.
zonda,Zonda.
zonga,Zonga.
zongorrear,Zongorrear
zonificar,Zonify
zontear,зонар.
zonto,ZO.
zonza,Zonza.
zonzaina,Zonzaina.
zonzear,Zonzear.
zonzo,Zonzo.
zonzoreco,Zonzoreco.
zonzoreno,Zonzorene.
zonzorrio,Zonzorrio.
zonzorrión,Зонзоррион
zoo,зоопарк
zoobiología,Зообиология
zoofarmacia,Зоофармация
zoofilia,Zoophilia.
zoogeografía,зоологграфия
zooide,Зооид.
zoolatría,Zoolatry.
zoolito,Zoolito.
zoologia,зоология
zoología,зоология
zoológico,Зоопарк
zoom,zoom.
zoomagnetismo,Zoomagnetismo.
zoonita,Zoonita.
zoonosis,Зоноз
zooperia,Zooperia.
zooquímica,Зоохимия
zoospora,зооспора
zoosporo,Zoosporo.
zootecnia,Zootecnia.
zootecnista,Zootecnist
zootrofotoxismo,Zootrophotoxism
zootécnico,Zootechnical
zopas,ZOP.
zope,Zope
zopenco,договориться
zopetero,Зоптер.
zopilote,канюк
zopilotear,Зопилотри
zopilotillo,ZOPILOTILLO.
zopisa,Зопида
zopitas,Зопитас
zopo,ZOPO.
zoque,Zoque.
zoquesmixes,Zoquesmixes.
zoquetada,зочет
zoquete,oaf.
zoquetear,Соответствовать
zoquetero,Zoquetero.
zoquetudo,ZoqueTudo.
zoraptero,Zoraptero.
zorcico,Zorcico.
zorenco,Зоренко.
zorita,Зорита.
zorito,Зорито.
zoriza,Зориза
zorocho,Зорочо.
zorollo,Zorollo
zorongo,Зоронго.
zorores,Коробки
zorra,лиса
zorrada,Зорада.
zorral,дрозд
zorrastrón,Зоррастрон
zorreada,Zorreada.
zorreadura,Зоррегура
zorrear,линкер
zorrera,Зоррера.
zorrero,Zorrero.
zorrería,ЗОРОРЕРИА
zorrillo,Zorrillo.
zorrino,Зоррино.
zorripón,Zorripon
zorro,лиса
zorrocloco,Zorrocloco
zorronglón,Зоронглон
zorrullo,Zorrullo.
zorruno,Zorruno.
zorrón,Зоррон.
zortzico,Zortzico.
zorzal,ЗОРЗАЛ.
zorzalear,ZORZalear.
zorzalero,Zorzalero
zorzaleño,Zorzaleño.
zorzalino,Зорзалино.
zote,Zote.
zotera,Zotera
zozobra,Zozobra.
zozobrar,капсизировать
zozobroso,Zozobroso.
zoócoro,Zooco.
zoófago,зоофаг
zoófilo,Zoófilo.
zoófito,Zoodite.
zoólogo,зоолог
zuaca,Zuaca
zuacate,Zuacate.
zuavo,Zuavo.
zubia,Зубия.
zucarino,Zucarino.
zucrero,Zucreero.
zucucho,Zucucho.
zuda,Зуда.
zueco,засорение
zuequero,Zuequero.
zugo,Zugo.
zuinana,Zuinana.
zuinandi,Zuinandi.
zuindá,Zuindá.
zuiza,Zuiza
zula,Zula.
zulacar,Зулакар.
zulaque,Zulaque.
zulaquear,Zulac.
zular,Zular.
zulla,Zulla.
zulo,Zulo.
zulú,Zulu
zum-zum,Zum-Zum.
zuma,Zuma.
zumacar,Zumacar.
zumacaya,Зумачая.
zumaque,сумах
zumas,Zumas.
zumaya,Zumaya.
zumba,Zumba.
zumbador,зуммер
zumbadora,зуммер
zumbambico,Зумбамбо
zumbar,гул
zumbel,Zumbel
zumbera,зуммер.
zumbete,Zumb.
zumbido,гул
zumbilín,Zumbilín.
zumbir,Zumbir.
zumbo,гул
zumbón,гул
zumel,Zumel.
zumiento,Zumiento.
zumo,сок
zumoso,сочный
zumpango,Zumpango.
zuna,Zuna.
zunchar,Zunchar.
zuncho,группа
zungo,Zungo.
zuniacá,Zuniacá.
zunzún,Zunzún.
zupia,ZUPIA.
zuque,Zuque.
zurano,Zurano.
zurba,Zurba.
zurbal,Zurbal.
zurcido,штопать
zurcidora,Zurcidora.
zurcidura,починка
zurcir,штопать
zurdal,Zurdal
zurdear,Zurdear.
zurdirse,Zurdedo.
zurdo,левша
zurear,Zurear.
zureo,Zureo.
zurita,Зурита.
zurito,Цурито.
zuriza,Zuriza.
zuro,Zuro.
zurra,Carrying.
zurracapote,Zurracapote.
zurrado,Zurredo.
zurrador,Zurrier
zurrapa,Zurrapa
zurrapelo,Zurrapelo
zurrapiento,Zurrapiento.
zurraposo,Zurraposo.
zurrar,Zurrar.
zurrar a uno la badana,поглощать
zurrarse,разорванный
zurraverbos,Zurraverbos
zurreta,Zurreta.
zurria,Zurriia.
zurriaga,Zurriaga.
zurriagada,Зурриагада
zurriagar,вершина
zurriagazo,Зурриагазо
zurriago,Zurriseo.
zurriar,Zurriah
zurriascada,Zurriada.
zurribanda,Зрибанда
zurriburri,Зуррурри
zurrido,Zorbor
zurrir,Zurn.
zurro,шелуха
zurron,Zurron
zurrona,Zurrona.
zurronada,Zurred
zurruscarse,Zurruscanus.
zurrusco,Zurrusco.
zurrustada,Зурруст
zurrón,Zuron.
zurrún,Zurrun.
zurujano,Zurujano.
zurullo,тур
zurullón,Zurullón
zurumato,ZURUMATO.
zurumbático,ZURUMBATIAN
zurupeto,Зурупо.
zutano,оздоровительный
zuzar,Zuzar.
zuzón,крестовник
zuñir,ворота
zuño,Зуньо.
záfiro,Сапфир
zámbigo,Zamer.
zángano,дрон
záparos,Záparos.
zéjel,Zéjel.
zénzalo,Zenzalo.
zímico,Zimico.
zíncico,Zincico.
zíngaro,Zingaro.
zíper,щип
zócalo,плинтус
zúa,ZUA.
¡a Dios mi dinero!,Богу мои деньги!
¡a Dios!,Прощай!
¡a ellos!,их!
¡a que no!,Нет!
¡a él!,до!
¡abur!,Абур!
¡acacau!,Acacau!
¡achachay!,Ачахай!
¡achalay!,Achalay!
¡achis!,Ахис!
¡adelante!,"вперед, продолжать!"
¡adío!,Adío!
¡agur!,Агур!
¡agú!,Агу!
¡agüé!,Я Агю!
¡ah!,Ах!
¡ahijuna!,Ahijuna!
¡ahupa!,Шуп!
¡ahué!,Я помахал!
¡aire!,воздуха!
"¡aire, aire!","Воздух, воздух!"
¡ajajá!,Ахахаха!
¡ajajái!,Ахахаха!
¡ajito!,Аджито!
¡ajá!,АГА!
¡ajó!,Чеснок!
¡ala!,до!
¡alabado sea Dios!,Хвалить Бога!
